,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
14,flat,bestech park view sanskruti,sector 92,1.55,7568.0,3.0,4.0,3,16.0,Relatively New,1805.43,0.0,1.0,0.0,0.0,0.0,1.0,60.0,"28.4079° N, 76.9153° E",28.4079,76.9153
15,flat,ss the leaf,sector 85,1.09,6667.0,2.0,2.0,3,9.0,Relatively New,1638.0,0.0,0.0,1.0,0.0,0.0,0.0,174.0,"28.4042° N, 76.9513° E",28.4042,76.9513
16,flat,ss the leaf,sector 85,1.77,7350.0,3.0,4.0,3+,7.0,New Property,2179.19,0.0,0.0,1.0,0.0,0.0,0.0,107.0,"28.4042° N, 76.9513° E",28.4042,76.9513
17,flat,afnhb jalvayu vihar,sector 30,0.85,12859.0,2.0,2.0,1,2.0,Old Property,734.44,0.0,0.0,0.0,0.0,1.0,1.0,49.0,"28.4604° N, 77.0579° E",28.4604,77.0579
18,flat,m3m woodshire,sector 107,0.9,6589.0,2.0,2.0,3+,10.0,Relatively New,1236.2,0.0,0.0,0.0,0.0,1.0,1.0,49.0,"28.5052° N, 76.9729° E",28.5052,76.9729
19,flat,godrej habitat,sector 3,1.2,8310.0,2.0,2.0,3,0.0,Under Construction,1306.79,0.0,0.0,0.0,0.0,0.0,0.0,60.0,"28.4909° N, 77.0176° E",28.4909,77.0176
20,flat,ansal api celebrity suites,sector 2,0.6,8163.0,1.0,1.0,1,5.0,Moderately Old,665.16,0.0,0.0,0.0,0.0,0.0,1.0,88.0,"28.5095° N, 77.0320° E",28.5095,77.032
21,house,independent,sector 41,9.0,27778.0,8.0,5.0,3+,3.0,Old Property,3240.0,0.0,1.0,1.0,1.0,0.0,1.0,26.0,"28.4557° N, 77.0632° E",28.4557,77.0632
22,house,independent,sector 41,7.0,28283.0,7.0,7.0,3+,3.0,Moderately Old,2475.0,1.0,1.0,1.0,1.0,0.0,2.0,151.0,"28.4557° N, 77.0632° E",28.4557,77.0632
23,flat,chanderlok society,sector 28,0.9,7235.0,4.0,2.0,3+,1.0,Old Property,1382.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4728° N, 77.0865° E",28.4728,77.0865
24,house,independent,sector 4,0.4,8889.0,1.0,1.0,0,1.0,Moderately Old,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4738° N, 77.0107° E",28.4738,77.0107
